CODIGO;DESCRICAO;
0000100;GABSEC;
0000300;COSIT;
0000500;COSAR;
0000700;COFIS;
0000900;COANA;
0000902;TESTE;
0000910;SEFAZ-SC - CONVENIO CONSULTA SISTEMA CARGA;
0001100;COTEC;
0001300;COPOL;
0001500;COGET;
0001700;CORIN;
0001900;CODIR;
0002100;COGER;
0010700;COPEI;
0010800;AUDIT;
0011400;DRJ - BRASILIA;
0021504;COREC;
0040700;DIFIS/SRRF/4A RF;
0100100;GABINETE DO SRRF/1 RF/ASSESSORIA;
0100107;DIREP/SRRF/1A RF;
0100300;DISIT/SRRF/1A RF;
0100500;DISAR/SRRF/1A RF;
0100700;DIFIS/SRRF/1A RF;
0100900;DIANA/SRRF/1A RF;
0101100;DITEC/SRRF/1A RF;
0101300;DIPOL/SRRF/1A RF;
0110100;BRASILIA;
0110101;TAGUATINGA;
0110102;GAMA;
0110103;SOBRADINHO;
0113481;DRJ/SAO PAULO II;
0117600;AEROPORTO INTERNACIONAL DE BRASILIA;
0120100;GOIANIA;
0120102;CATALAO;
0120103;CERES;
0120104;FORMOSA;
0120105;GOIAS;
0120108;ITUMBIARA;
0120109;JATAI;
0120110;LUZIANIA;
0120112;PORANGATU;
0120113;RIO VERDE;
0120114;SAO LUIS DE MONTES BELOS;
0120115;URUACU;
0120116;Caldas Novas;
0120200;ANAPOLIS;
0130100;CUIABA;
0130102;RONDONOPOLIS;
0130103;BARRA DO GARCA;
0130106;ALTA FLORESTA;
0130107;SINOP;
0130110;TANGARA DA SERRA;
0130151;CACERES;
0130165;POSTO - DIAMANTINO;
0140100;CAMPO GRANDE;
0140101;AQUIDAUANA;
0140102;DOURADOS;
0140103;NOVA ANDRADINA;
0140105;TRES LAGOAS;
0140106;Rio Verde de Mato Grosso;
0140165;POSTO - PARANAIBA;
0140200;DOURADOS;
0140202;NAVIRAI;
0147600;ALF - CORUMBA;
0147700;ALF - MUNDO NOVO;
0147800;ALF - PONTA PORA;
0147851;ARF - BELA VISTA;
0147852;ARF - PORTO MURTINHO;
0150100;PALMAS;
0150101;ARAGUAINA;
0150102;DIANOPOLIS;
0150103;GURUPI;
0150104;MIRACEMA DO TOCANTINS;
0150105;PARAISO DO TOCANTINS;
0170293;DRJ FORTALEZA;
0190100;DIDEX;
0200100;GABINETE DO SRRF/2A RF/ASSESSORIA;
0200107;DIREP/SRRF/2A RF;
0200300;DISIT/SRRF/2A RF;
0200500;DISAR/SRRF/2A RF;
0200700;DIFIS/SRRF/2A RF;
0200900;DIANA/SRRF/2A RF;
0201100;DITEC/SRRF/2A RF;
0201300;DIPOL/SRRF/2A RF;
0210100;BELEM;
0210101;CAPANEMA;
0210102;ABAETETUBA;
0210105;BRAGANCA;
0210107;CASTANHAL;
0210109;CONCEICAO DO ARAGUAIA;
0210110;SAO MIGUEL DO GUAMA;
0210112;PARAGOMINAS;
0210113;TUCURUI;
0210114;ANANINDEUA;
0210200;SANTAREM;
0210201;ITAITUBA;
0210202;ORIXIMINA;
0210203;ALTAMIRA;
0210206;ARF - OBIDOS;
0210252;ALMEIRIM;
0210300;MARABA;
0210303;REDENCAO;
0217602;BARCARENA;
0217603;Breves;
0217800;ALF - BELEM;
0217801;IRF - AEROPORTO INTERNACIONAL DE BELEM;
0220100;DRF MANAUS;
0220102;MANACAPURU;
0220103;MAUES;
0220104;PARINTINS;
0220105;TEFE;
0220106;SAO GABRIEL DA CACHOEIRA;
0220107;HUMAITA;
0220108;TABATINGA;
0227600;PORTO DE MANAUS;
0227603;TABATINGA;
0227651;ARF - ITACOATIARA;
0227700;AEROPORTO EDUARDO GOMES;
0230100;RIO BRANCO;
0230101;SENA MADUREIRA;
0230152;CRUZEIRO DO SUL;
0230154;Assis Brasil;
0230155;IRF - EPITACIOLâNDIA;
0240100;MACAPA;
0240101;AMAPA;
0240151;OIAPOQUE;
0240152;SANTANA;
0250100;PORTO VELHO;
0250151;GUAJARA-MIRIM;
0250152;VILHENA;
0250200;JI-PARANA;
0260100;BOA VISTA;
0260151;PACARAIMA;
0260152;BONFIM;
0300100;GABINETE DO SRRF/3A RF/ASSESSORIA;
0300107;DIREP/SRRF/3A RF;
0300300;DISIT/SRRF/3A RF;
0300500;DISAR/SRRF/3A RF;
0300700;DIFIS/SRRF/3A RF;
0300900;DIANA/SRRF/3A RF;
0301100;DITEC/SRRF/3A RF;
0301300;DIPOL/SRRF/3A RF;
0310100;FORTALEZA;
0310102;ACARAU;
0310105;CRATEUS;
0310106;IPU;
0310108;ITAPIPOCA;
0310109;MARANGUAPE;
0310110;QUIXADA;
0310112;RUSSAS;
0310114;Caucaia;
0310165;POSTO - ARACATI;
0310200;JUAZEIRO DO NORTE;
0310203;IGUATU;
0310204;SENADOR POMPEU;
0310265;POSTO - CRATO;
0310300;SOBRAL;
0310305;Camocim;
0310365;POSTO - TIANGUA;
0317900;ALF - FORTALEZA;
0317901;IRF - AEROPORTO INTERNACIONAL PINTO MARTINS;
0317902;IRF - PORTO DE PECEM;
0320100;SAO LUIS;
0320101;BACABAL;
0320105;PINHEIRO;
0320106;SANTA INES;
0320110;Chapadinha;
0320151;IRF - PORTO DE SAO LUIS;
0320200;IMPERATRIZ;
0320201;CAROLINA;
0320203;BALSAS;
0320300;CAXIAS;
0320301;CODO;
0320302;PRESIDENTE DUTRA;
0330100;TERESINA;
0330105;PIRIPIRI;
0330151;PARNAIBA;
0330165;POSTO - CAMPO MAIOR;
0330200;FLORIANO;
0330202;BOM JESUS;
0330203;SAO RAIMUNDO NONATO;
0330204;PICOS;
0330265;POSTO - OEIRAS;
0400100;GABINETE DO SRRF/4A RF/ASSESSORIA;
